t,S,I,R,caso,beta,tipo
28,19.889947209583035,6.575712889109439,16.579404894828606,sobre_critico,0.3722,std
29,19.909684968767223,6.2843721510850505,16.78875284892306,sobre_critico,0.3722,std
30,19.93101993264658,5.921711464320654,17.431166213296102,sobre_critico,0.3722,std
31,19.93101993264658,5.44303836718672,17.704393679410643,sobre_critico,0.3722,std
32,19.95394697797907,5.039400317057135,17.9066716306769,sobre_critico,0.3722,std
33,19.95394697797907,4.708030963742226,18.28420690711583,sobre_critico,0.3722,std
34,19.95394697797907,4.476605857119878,18.115555010358733,sobre_critico,0.3722,std
35,19.95394697797907,3.9890126876486898,18.236380001402573,sobre_critico,0.3722,std
36,19.95394697797907,3.8064273129653854,18.380666170976742,sobre_critico,0.3722,std
37,19.95394697797907,3.4942810419312296,18.589154544160056,sobre_critico,0.3722,std
38,19.95394697797907,3.330165161069343,18.92995861943003,sobre_critico,0.3722,std
39,19.95394697797907,3.2310988842807027,18.970854839287902,sobre_critico,0.3722,std
40,19.95394697797907,2.8859814429217816,19.03633951741306,sobre_critico,0.3722,std
41,19.95394697797907,2.3485219938411386,19.253282548409477,sobre_critico,0.3722,std
42,19.95394697797907,2.1561282171728307,19.32068551808887,sobre_critico,0.3722,std
43,19.95394697797907,1.9988885800753264,19.36135899729723,sobre_critico,0.3722,std
44,19.95394697797907,2.0190756961210408,19.38513175950407,sobre_critico,0.3722,std
45,19.95394697797907,1.8607047649270485,19.374783152908368,sobre_critico,0.3722,std
46,19.95394697797907,1.6478942792411035,19.453077448625507,sobre_critico,0.3722,std
47,19.95394697797907,1.6206994374857624,19.540726700918775,sobre_critico,0.3722,std
48,19.95394697797907,1.5902480589168748,19.659998869673302,sobre_critico,0.3722,std
49,19.95394697797907,1.4866068747318504,19.70507548831011,sobre_critico,0.3722,std
50,19.95394697797907,1.4067298564006128,19.796773025476206,sobre_critico,0.3722,std
